question,answer,precision,dpr_answer,rank,filtered_rank,other_dates
when did Georgina Chapman marry Harvey?,2007-01-01,year,"Georgina Chapman toes to point inward while walking. At the age of 8, she was diagnosed with dyslexia. She is good friends with actor David Oyelowo, whom she has known since she was 18. Chapman started dating film producer Harvey Weinstein in December 2004 after he left his first wife. They married on 15 December 2007 in Connecticut, U.S. The couple divided their time between a West Village townhouse, a seafront home in Westport, Connecticut, and a mansion in Los Angeles. Chapman gave birth to the couple's first child, daughter India Pearl, on 30 August 2010. On 11 April 2013, they had",1,1,"2013-04-11,2018-07-01,2010-08-30,2004-12-01"
when did Sayaka Kanda marry Mitsu?,2017-01-01,year,"Sayaka Kanda Symphony Concert from December 20, 2014 alongside Tibetan Chinese diva Alan Dawa Dolma, and together, they sang a music piece originally performed by Alan titled . On April 26, 2017, Kanda announced on her Instagram account that she will marry actor Mitsu Murata. The couple were officially married on May 13, 2017 in Hawaii. as TRUSTRICK as TRUSTRICK Sayaka Kanda Kanda was born in Setagaya, Tokyo. She is the only child of actor Masaki Kanda and Seiko Matsuda. Her paternal grandmother Teruko Asahi (1924—2001) was a former actress. In 1999, while a student at a Japanese school in Los Angeles,",31,1,"2014-12-20,1999-07-01"
"when did John Dewar, 1st Baron Forteviot marry Johann?",1884-06-24,day,"John Dewar, 1st Baron Forteviot John Dewar, 1st Baron Forteviot John Alexander Dewar, 1st Baron Forteviot (6 June 1856 – 23 November 1929) was a Scottish businessman, elder son of the founder of Dewar's Scotch Whisky and a Liberal Member of Parliament. He is buried with his family in the family plot at Aberdalgie just west of Perth, near the family seat of Dupplin. John Dewar Jr. was the son of John Dewar, Sr. and Jane Gow, and older brother of Thomas Dewar, 1st Baron Dewar. John married Elsie Johann Todd (d. 15 February 1899) on 24 June 1884. They have six children, seven grandchildren,",33,1,"1856-06-06,1929-11-01"
when did Doutzen Kroes marry Sunnery James?,2010-01-01,year,"Doutzen Kroes is actively involved with the non-profit organization Dance4Life, which uses song and dance to educate youth about HIV and AIDS prevention. She is also an ambassador for Praat mar Frysk (Just speak Frisian) campaign which aims to promote the Frisian language, which is spoken in Kroes' native Friesland. In 2009 Kroes started dating Dutch DJ Sunnery James. On 15 July 2010, Kroes announced that she was pregnant with her first child by fiancé Sunnery James. On 7 November 2010, she and Sunnery James married in Eastermar. On 21 January 2011, Kroes gave birth to her first child, son Phyllon Joy",85,1,"2011-01-21,2009-07-01"
"when did Mary Eccles, Viscountess Eccles marry Donald F.?",1939-01-01,year,"Mary Eccles, Viscountess Eccles in 1992. Eccles was born Mary Morley Crapo in Detroit, Michigan, United States in 1912. She attended Vassar College in New York State where she became friends with novelist Mary McCarthy. She later attended Columbia University where she undertook her PhD in English literature. The dissertation from her doctorate was later developed into a book, entitled Playwriting for Elizabethans. In 1939 she married Donald Hyde, a New York City lawyer. The couple bought Samuel Johnson's silver teapot in 1941 and threw a tea party in its honour. Over the next 25 years, they became avid collectors of Johnson's belongings, including",16,1,"1992-07-01,1941-07-01,1912-07-01"
when did Carol Wayne marry Burt?,1975-01-01,year,"Carol Wayne Heartbreakers. In January 1984, Wayne appeared on The Tonight Show Starring Johnny Carson  exactly one year prior to her death. In February 1984, Wayne appeared nude in a pictorial for Playboy magazine. That same year she filed for bankruptcy. Wayne was married three times. Her first husband was Loreto (Larry) Cera. In 1969, Wayne married her second husband, rock-music photographer Barry Feinstein, with whom she had a son, Alex Feinstein (b. 1970). The couple divorced in 1974. A year later, in 1975, she married her third and final husband, television and film producer Burt Sugarman, who served as producer",2,1,"1969-07-01,1984-01-01,1974-07-01,1970-07-01,1984-02-01"
when did Ava Gardner marry Mickey?,1942-01-10,day,"Ava Gardner Knots Landing (both 1985). Soon after Gardner arrived in Los Angeles, she met fellow MGM contract player Mickey Rooney; they married on January 10, 1942. The ceremony was held in the remote town of Ballard, California, because MGM studio head Louis B. Mayer was worried that fans would desert Rooney's Andy Hardy movie series if it became known that their star was married. Largely due to Rooney's serial adultery, Gardner divorced him in 1943, but agreed not to reveal the cause so as not to affect his career. Gardner's second marriage was brief as well, to jazz musician and bandleader",2,1,"1943-07-01,1985-07-01"
when did Louise Cox marry Kenyon?,1892-01-01,year,"Louise Cox (painter) Manhattan. In 1872, Anna King had sued her husband for divorce, citing cruel and inhumane treatment. James C. King was convicted for a murder related to that suit in November 1872. In 1880, when she was 14, Louise attended small school of Lucy McGuire in Dover, New Jersey with her older sister Coursen (16) and younger sister Mary (13). When she first attended art school she lived with her mother and sister Pauline. On June 30, 1892, she wed her former teacher Kenyon Cox in Belmont, Massachusetts, at the home of her aunt, Mrs. B.M. Jones. Kenyon, who had thought",7,1,"1880-07-01,2014-07-01,1872-11-01,1872-07-01,2016-07-01"
when did Iain Cuthbertson marry Anne?,1964-01-01,year,"Iain Cuthbertson he appeared as Charles Waterbury in The Railway Children (1970). Cuthbertson's first marriage, to Anne Kristen in 1964, was dissolved in 1988. He is survived by his second wife, Janet Smith. From 1975 to 1978, he served as Rector of the University of Aberdeen. He listed his hobbies as sailing and fishing, and, after retiring, he lived in Dalrymple, Ayrshire. He suffered a severe stroke in 1982, which caused paralysis down one side of his body and speech loss. It took him almost two years to recover sufficiently to be able to act again. Although he avoided live theatre work",88,1,"1970-07-01,1988-07-01,1982-07-01"
when did Jim Webb marry Hong Le?,2006-01-01,year,"Jim Webb Doctor and received the Horan Award for excellence in legal writing. Webb is married to Hong Le Webb, a Vietnamese-American securities and corporate lawyer. Hong Le was born in South Vietnam and came to the United States when she was seven, after the fall of Saigon. She grew up in New Orleans, Louisiana. They married in October 2005. Webb was married twice previously, and has four grown children. Hong Le and Jim Webb have one child together, Georgia LeAnh, born December 2006. Webb is also a stepfather to Hong Le's daughter from a previous marriage. Jim Webb speaks Vietnamese. His",1,1,2005-10-01
when did Marie Fox marry Prince Aloys Franz de Paula?,1872-06-27,day,"Marie Fox Earl of Rosebery, but refused to marry him as she was unwilling to renounce Roman Catholicism. In the winter of 1871, which she spent with her adoptive mother in Naples, she was courted by Prince Louis of Liechtenstein, a first cousin of Johann II, Prince of Liechtenstein. Their engagement was announced in the spring. The marriage ceremony took place in Kensington pro-cathedral, London, on 27 June 1872 and was performed by Henry Edward Manning, Cardinal-Archbishop of Westminster. Among the guests were the Prince and Princess of Wales. The Princely House of Liechtenstein initially refused to approve the marriage on the",11,1,
when did Barbara Kwiatkowska-Lass marry Roman?,1959-01-01,year,"Barbara Kwiatkowska-Lass like La millième fenêtre (with Jean-Louis Trintignant) and Che gioia vivere (with Alain Delon). She played roles in several Italian, French and German films such as Krzysztof Zanussi's Blaubart (1983) and in  (1981). She married film director Roman Polanski in 1959; they divorced in 1962. The following year she met Karlheinz Böhm on the set of the movie  (Rififi à Tokyo, 1963) in Tokyo; the couple later married, their daughter is actress Katharina Böhm. Kwiatkowska-Lass divorced Böhm in 1980, and married Polish jazz musician Leszek Żądło, with whom she lived until her death. Kwiatkowska was opposed to the",9,1,"1962-07-01,1980-07-01,1983-07-01,1981-07-01,1963-07-01"
when did Prescott Bush marry Dorothy Walker?,1921-08-06,day,"Prescott Bush Lodge. Another of Senator Bush's major legislative interests was flood and hurricane protection. He drafted Public Law 71, the Bush Hurricane Survey Act, enabling U.S. Army engineers to develop a new program of community protection against tidal flooding. Prescott Bush married Dorothy Walker (1901-1992) on August 6, 1921, in Kennebunkport, Maine. They had five children: George Nancy Jonathan and William Bucky Bush founded the Yale Glee Club Associates, an alumni group, in 1937. As was his father-in-law, he was a member of the United States Golf Association, serving successively as secretary, vice-president and president, 1928–1935. He was a multi-year club",11,1,1937-07-01
when did Prince Hermann of Saxe-Weimar-Eisenach marry Suzanne Aagot?,1918-08-04,day,"Prince Hermann of Saxe-Weimar-Eisenach (1886–1964) 1909 in London. They visited the United States on several occasions. They were divorced two years later, on 22 June 1911 after Wanda grew tired of supporting him with her earnings and divorced him on the grounds of financial non-support, cruelty, and infidelity. Wanda later gained notoriety for having a short-lived affair with Constantine I of Greece in 1912. On 4 August 1918, Hermann married secondly to Suzanne Aagot Midling at Heidelberg. They had one surviving child before her death on 16 October 1931: On 16 November 1932, Hermann's engagement with Isabel Neilson, daughter of former British MP and prominent",35,1,"1911-06-22,1909-07-01,1932-11-16,1931-10-16,1912-07-01"
when did Agnata Butler marry Montagu?,1888-01-01,year,"Agnata Butler Agnata Butler Agnata Frances Butler (née Ramsay; 1867–1931) was a British classical scholar. She was among the first generation of women to take the Classical Tripos examinations at the University of Cambridge, and was the only person to be placed in the top division of the first class at the end of her third year, in 1887. She married the Master of Trinity College, Montagu Butler, in August 1888, becoming the leading hostess in Cambridge. She published a version of Book VII of Herodotus' Histories in 1891. She was born Agnata Ramsay in London on 28 January 1867, the daughter",32,1,"1891-07-01,1887-07-01,1867-01-28"
when did Victoria Woodhull marry James?,1866-01-01,year,"Victoria Woodhull kept his surname. About 1866, Woodhull married Colonel James Harvey Blood, who also was marrying for a second time. He had served in the Union Army in Missouri during the American Civil War, and had been elected as city auditor of St. Louis, Missouri. Woodhull's support of free love likely started after she discovered the infidelity of her first husband, Canning. Women who married in the United States during the 19th century were bound into the unions, even if loveless, with few options to escape. Divorce was limited by law and considered socially scandalous. Women who divorced were stigmatized and",64,1,
when did Sarah Troughton marry Peter?,1977-01-01,year,"Sarah Troughton the Queen Mother, so that she is a first cousin twice removed of the present Earl of Strathmore and also a first cousin once removed of Elizabeth II. Her ancestor Jeremiah Colman (1777–1851) made a fortune from Colman's mustard, a business which eventually grew into Reckitt & Colman, of which her father was a director until 1989. In 1977 she married Peter John Charles Troughton (born 1948), a member of the Diplomatic Service and the eldest son of Sir Charles Hugh Willis Troughton, chairman of W H Smith. They have a son and two daughters. From 1990 to 2000 Troughton",1,1,"1948-07-01,1989-07-01"
when did Altiero Spinelli marry Ursula?,1945-01-01,year,"Altiero Spinelli Mitterrand who, following a meeting with Spinelli, came to the European Parliament to speak in favour of its approach, thereby reversing France's policy (since Charles De Gaulle) of hostility to anything but an intergovernmental approach to Europe. This momentum was enough to obtain the support of a majority of national governments to trigger the treaty revision procedure. He married Ursula Hirschmann, a German anti-fascist activist and fellow advocate of European federalism in 1945 and they had three daughters: Diana Spinelli, Barbara Spinelli and Sara Spinelli. Ursula had already other three daughters (Silvia, Renata and Eva) from her first husband Eugenio",1,1,
when did Robertson Gladstone marry Mary Ellen?,1836-01-28,day,"Robertson Gladstone of Liverpool under the age of forty, and as he got older his politics moved to the left, as with his youngest brother William. Robertson was a large, slightly depressive man-mountain of 20 stones. He had a large family of children who were all spinsters and bachelors, and his home life was entirely dependent on his wife's talent for housekeeping. Her death in 1865 left him bereft. Gladstone became engaged at age 30 to Mary Ellen Jones (d. 23 September 1865), daughter of a notable local banker, Hugh Jones. They married on 28 January 1836 in St George's Church, Liverpool.",3,1,1865-07-01
when did Priscilla Ahn marry Michael?,2010-05-01,month,"Priscilla Ahn some new sounds to play with, and a care-free, 'this is just an experiment' attitude to begin writing again. This Is Where We Are was released in the US on 15 February 2014. It was released in Japan on 19 July 2013 and later in Korea and Taiwan. Ahn's music is described as grounded in folk, country and pop. Ahn explored electropop music in the album This Is Where We Are. Ahn married actor Michael Weston in May 2010. Credits of Priscilla Ahn as a vocalist and/or songwriter Credits of Priscilla Ahn as a vocalist and/or songwriter Priscilla Ahn Priscilla",1,1,"2014-02-15,2013-07-19"
when did Roger Moore marry Doorn Van?,1946-01-01,year,"Roger Moore cartoon The Fly Who Loved Me. Moore was involved in the production of a video for PETA that protests against the production and wholesale of foie gras. Moore narrates the video. His assistance in this situation, and being a strong spokesman against foie gras, led to the department store Selfridges agreeing to remove foie gras from their shelves. In 1946, aged 18, Moore married a fellow RADA student, the actress and ice skater Doorn Van Steyn (born Lucy Woodard), who was six years his senior; Moore and Van Steyn lived in Streatham with her family, but tension over money matters",20,1,2016-07-06
when did Matteo Salvini marry Fabrizia?,2003-01-01,year,"Matteo Salvini chief strategist, Steve Bannon. In 2001 Matteo Salvini married Fabrizia Ieluzzi, a journalist who worked for a private radio station, by whom he had one child Federico in 2003. After his divorce he had a daughter, Mirta, by his domestic partner Giulia Martinelli in 2012. He later became engaged to Elisa Isoardi, a popular TV host. After a relationship of nearly 3 years, Isoardi announced their split in November 2018 via an Instagram post. Salvini is an avid supporter of A.C. Milan. Matteo Salvini Matteo Salvini (; born 9 March 1973) is an Italian politician serving as Deputy Prime Minister",39,1,"2018-11-01,2001-07-01,2012-07-01,1973-03-09"
when did Don Johnson marry Kelley?,1999-04-29,day,"Don Johnson description of the couple's life in the 1980s said, Johnson next had a relationship with Barbra Streisand, lasting into at least September 1988. In 1995–1996 Johnson was briefly engaged to Jodi Lyn O'Keefe who played his daughter on Nash Bridges. On April 29, 1999, he married San Francisco socialite and Montessori nursery school teacher Kelley Phleger, then 30, at the Pacific Heights mansion of Ann and Gordon Getty. Actor Robert Wagner served as best man, and Mayor Willie Brown presided over the civil ceremony. Johnson and Phleger have three children together: a daughter, Atherton Grace Johnson (born December 28, 1999),",1,1,"2030-07-01,2022-07-06,1999-12-28"
when did Frederick VIII of Denmark marry Louise of?,1869-07-28,day,"Frederick VIII of Denmark countries as a symbol of the new Scandinavism. Crown Prince Frederick and Louise of Sweden married at the Royal Palace in Stockholm on 28 July 1869. The couple resided at Amalienborg Palace in Copenhagen, spending the summers at Charlottenlund Palace north of the city. They had four sons and four daughters. The marriage was not a happy one, nor did it have any effect on the relationship between the two countries. Frederick became king of Denmark as Frederick VIII on Christian IX's death on 29 January 1906. He was 62 years old at the time and had been Crown Prince",1,1,1906-01-29
when did Bert Lytell marry Claire?,1925-01-01,year,"Bert Lytell Bert Lytell Bert Lytell (February 24, 1885 – September 28, 1954), born Bertram Lyttel, was a popular screen star of the silent film era who starred in romantic, melodrama and adventure films. On stage he was with Marie Dressler in her 1914 Broadway play, A MIX-UP. He also had success in vaudeville in the 1920s with the one-act play The Valiant. Lytell was born in New York City. His younger brother Wilfred Lytell (1891–1954) would also become a popular stage and screen actor. Bert Lytell married the silent film actress Claire Windsor in 1925; they divorced in 1927. Like many",5,1,"1885-02-24,1954-07-01,2022-07-06,1914-07-01,1927-07-01"
when did Mary-Kate Olsen marry Olivier?,2015-01-01,year,"Mary-Kate Olsen Katzenberg (son of DreamWorks cofounder Jeffrey Katzenberg), photographer Maxwell Snow and artist Nate Lowman. In May 2012, Olsen began a relationship with Olivier Sarkozy, half brother of former French President Nicolas Sarkozy. In March 2014, photos were published showing Olsen wearing what appeared to be an engagement ring. Olsen and Sarkozy were married on November 27, 2015, at a private residence in New York City. In mid-2004, Olsen announced she had entered treatment for anorexia nervosa. A Got Milk? advertisement featuring the twins was pulled following the announcement. On November 20, 2007, she was hospitalized for a reported kidney infection.",1,1,"2012-05-01,2007-11-20,2014-03-01"
