question,answer,precision,dpr_answer,rank,filtered_rank
when did Mary Louise Curtis Bok Zimbalist marry Efrem?,1943-01-01,year,"""Mary Louise Curtis"" the courtyards: """"""""The artist's job is to explore, to announce new visions, and to open new doors."""""""" At the time of its opening (the first artists arrived in 1938, coinciding with an inaugural exhibition in the gallery space), it was one of the few art galleries in the state of Florida. Among the nationally prominent artists who lived and worked at the studio were Milton Avery, Ralston Crawford, Ernest D. Roth, Arnold Blanch, Doris Lee, and Elizabeth Sparhawk-Jones. In 1943, she married the director of the Curtis Institute, violinist Efrem Zimbalist. Together with one of her sons, Cary, she controlled",11,1
when did Marjorie Cameron marry Jack?,1946-10-19,day,"""Marjorie Cameron"" a confidence trickster, who tried to flee with Parsons' money, resulting in the end of their friendship. Returning to Pasadena, Cameron consoled Parsons, painting a picture of Northrup with her legs severed below the knee. Parsons decided to sell The Parsonage, which was then demolished for redevelopment, and the couple moved to Manhattan Beach. On October 19, 1946, he and Cameron married at the San Juan Capistrano courthouse in Orange County, in a service witnessed by his best friend Edward Forman. Having an aversion to all religion, Cameron initially took no interest in Parsons' Thelemite beliefs and occult practices, although",1,1
when did Margaret Grubb marry L. Ron?,1933-04-13,day,"""Margaret Grubb"" the time, Hubbard was self-employed as a writer of pulp fiction stories. The two began a relationship after going on a blind date. Hubbard and Grubb married on April 13, 1933, after only a short courtship. They settled in Laytonsville, Maryland. She had a miscarriage not long afterwards but became pregnant again in October 1933. On May 7, 1934, she gave birth two months prematurely to Lafayette Ronald Hubbard, Jr. (died 16 September 1991 Carson City, Nevada), while on a vacation with her husband at Encinitas, California. Ron, Jr., legally changed his name to Ronald Edward DeWolf in 1972. and",2,1
when did Thomas German Reed marry Priscilla?,1844-01-01,year,"""Thomas German Reed"" including """"Fra Diavolo"""" in 1837. He also gave private music lessons. In 1838, German Reed was appointed chapel-master at the Royal Bavarian Chapel and also became musical director at his father's former employer, the Haymarket Theatre, where he continued to work until 1851 with the exception of a temporary closure in 1843, during which he produced Pacini's opera """"Sappho"""" at the Theatre Royal, Drury Lane. During these years, he met Priscilla Horton, a successful and popular contralto and actress who had been performing on the stage in London since the age of ten. They married in 1844. In 1851, Reed",1,1
when did Thomas German Reed marry Priscilla?,1844-01-01,year,"""Thomas German Reed"" Thomas German Reed While acting as organist and chapel-master at chapels in London, and also as musical director and performer at West End theatres in the 1830s and 1840s, Reed tried his hand at producing opera. He married Priscilla Horton, a noted singer, actress and dancer, in 1844. By 1851, he was managing opera productions at various theatres in London and on tour. In 1855, Reed and his wife began to present and perform in """"Mr. and Mrs. German Reed's Entertainments"""", consisting of brief, small-scale, family-friendly comic operas. In the early and mid-Victorian era, the respectable middle classes regarded the",2,2
when did Brad Davis marry Susan?,1976-01-01,year,"""Brad Davis (actor)"" Actor nominations at both ceremonies. Davis married Susan Bluestein, an Emmy Award-winning casting director, 1976. They had one child, Alex, a dentist. Diagnosed with HIV in 1985, Davis kept his condition a secret until shortly before his death at age 41, on September 8, 1991, in Los Angeles. It was revealed in a book proposal that Davis had written before his death that he had to keep his medical condition a secret in order to be able to continue to work and support his family. He is interred at Forest Lawn Memorial Park (Hollywood Hills). Later, his wife Susan revealed",1,1
when did Valerie Bertinelli marry Eddie Van?,1981-04-11,day,"""Valerie Bertinelli"" a description of her Jenny Craig experience. In 2009 she wrote a follow-up book """"Finding It: And Satisfying My Hunger for Life Without Opening the Fridge."""" In 2015, Bertinelli began hosting two shows, """"Valerie's Home Cooking"""" and """"Kids Baking Championship"""" with cake artist Duff Goldman on the Food Network. The kids show follows young children as they bake pastries and other desserts. On August 22, 2012, Bertinelli received the 2,476th star on the Hollywood Walk of Fame. Bertinelli married Eddie Van Halen on April 11, 1981. They have a son, Wolfgang (born March 16, 1991). The couple separated in 2001",2,1
when did Daniel Day-Lewis marry Rebecca?,1996-11-13,day,"""Daniel Day-Lewis"" a """"lifelong study in evasion"""". He had a relationship with French actress Isabelle Adjani that lasted six years, eventually ending after a split and reconciliation. Their son, Gabriel-Kane Day-Lewis, was born on April 9, 1995, in New York City, a few months after the relationship ended. In 1996, while working on the film version of the stage play """"The Crucible"""", he visited the home of playwright Arthur Miller, where he was introduced to the writer's daughter, Rebecca Miller. They married later that year, on 13 November 1996. The couple have two sons, Ronan Cal Day-Lewis (born 1998) and Cashel Blake",1,1
"when did Benjamin Bathurst, 2nd Viscount Bledisloe marry Joan?",1933-06-02,day,"""Benjamin Bathurst, 2nd Viscount Bledisloe"" World War and gained the rank of Second Lieutenant in the service of the Royal Artillery. He returned to military service during the Second World War, where he served as a Squadron Leader in the Royal Air Force. In 1956, he was appointed a bencher of Lincoln's Inn. Bathurst succeeded his father in the viscountcy in 1958. He was a regular contributor in the House of Lords, speaking 64 times between 1959 and 1979. Lord Bledisloe married Joan, daughter of Otto Krishaber, on 2 June 1933. They had two sons: Lord Bledisloe died in September 1979, aged 79, and was",41,1
when did Catharine Frydendahl marry Peter Jørgen?,1797-01-01,year,"""Catharine Frydendahl"" her greatest rival, Caroline Frederikke Müller, to leave Denmark. Indeed, in 1800, she and her husband were placed in jail after a conflict with the Theatre. She retired from the Royal Danish theatre in 1821, and gave her last ever concert in 1823. Catarine was from 1789 married to the court-violinist Jörgen Berthelsen and 1797 with the actor Jørgen Peter Frydendahl. Catharine Frydendahl Catharine Elisabeth Frydendahl (née Møller) (November 30, 1760 – November 30, 1831), was a Danish opera singer, and the prima donna of Danish opera in the 18th century. The child of the glovemaker Hans Jacob Möller, she",4,1
when did William Bent marry Owl?,1835-01-01,year,"""William Bent"" and local Mexican and Native American people. Bent negotiated a peace among the many Plains tribes north and south of the Arkansas River, as well as between the Native American and the United States government. In 1835 Bent married Owl Woman, the daughter of White Thunder, a Cheyenne chief and medicine man. Together they had four children. Bent was accepted into the Cheyenne tribe and became a sub-chief. In the 1840s, according to the Cheyenne custom for successful men, Bent took Owl Woman's sisters, Yellow Woman and Island, as secondary wives. He had his fifth child with Yellow Woman. After",1,1
when did William Bent marry Owl?,1835-01-01,year,"""William Bent"" after Bent's death, Adaline sold the Westport farm to Seth Ward, a prosperous businessman. In 1835 Bent married Owl Woman (""""Mis-stan-stur""""), the oldest daughter of White Thunder and Tail Woman, in a Cheyenne ceremony. Her father was an influential Cheyenne leader and medicine man. He was the tribe's """"Keeper of the Arrows,"""" four arrows thought to have a sacred or medicinal role. The prestige of his position as a medicine man meant that his daughters also had high status. Owl Woman As a part of the marriage ritual, Owl Woman was carried into a lodge which was constructed for them",7,2
when did Cali Timmins marry Geoff?,1997-01-01,year,"""Cali Timmins"" grandfather, Noah Timmins, was the pioneering Canadian mining executive who gave his name to the city of Timmins, Ontario. Timmins has been married to actor and former """"Ryan's Hope"""" co-star Geoff Pierson since 1997. They met on the set of the show in 1983 after Timmins joined the cast as Maggie Shelby. The couple have two children, Emma and Michael. Pierson also has three children from his previous marriage. Cali Timmins Carolyn """"Cali"""" Timmins (born April 27, 1963) is a Canadian former actress, best known for her work in the soap """"Ryan's Hope"""" as Maggie Shelby, a role she played",80,1
